idx,name,caption,method,crop_w,crop_h,box_px,feed,parsed,iou,gate,sr_ms,vlm_ms,raw
5,0000291_01201_d_0000874,The yellow taxis in the image.,bicubic,400,400,95.2,1024,1,1.0,1,0.0,627.6,38 45 61 55
5,0000291_01201_d_0000874,The yellow taxis in the image.,lanczos,400,400,95.2,1024,1,1.0,1,0.0,632.1,38 45 61 55
5,0000291_01201_d_0000874,The yellow taxis in the image.,swin2sr,400,400,95.2,1024,1,1.0,1,1344.1,620.6,38 45 61 55
6,0000280_01001_d_0000617,The green pedestrians walk along the sidewalks.,native,400,400,61.2,1024,1,0.0,0,0.0,271.5,7 25 9 35
6,0000280_01001_d_0000617,The green pedestrians walk along the sidewalks.,bicubic,400,400,61.2,1024,1,0.0,0,0.0,580.0,3 16 6 27
6,0000280_01001_d_0000617,The green pedestrians walk along the sidewalks.,lanczos,400,400,61.2,1024,1,0.0,0,0.0,576.2,3 16 6 26
6,0000280_01001_d_0000617,The green pedestrians walk along the sidewalks.,swin2sr,400,400,61.2,1024,1,0.0,0,1415.2,597.4,3 17 6 28
7,0000316_02001_d_0000529,The white car is located at the top-right corner.,native,400,400,54.4,1024,1,0.3333,1,0.0,300.2,86 41 93 48
7,0000316_02001_d_0000529,The white car is located at the top-right corner.,bicubic,400,400,54.4,1024,1,0.3333,1,0.0,617.6,86 41 93 48
7,0000316_02001_d_0000529,The white car is located at the top-right corner.,lanczos,400,400,54.4,1024,1,0.3333,1,0.0,599.6,86 41 93 48
7,0000316_02001_d_0000529,The white car is located at the top-right corner.,swin2sr,400,400,54.4,1024,1,0.3333,1,1271.3,604.2,86 41 93 48
8,0000026_00000_d_0000024,The black cars park in the designated spaces on the left side.,native,400,400,122.4,1024,1,1.0,1,0.0,276.9,41 4 60 34
8,0000026_00000_d_0000024,The black cars park in the designated spaces on the left side.,bicubic,400,400,122.4,1024,1,1.0,1,0.0,578.5,41 4 59 34
8,0000026_00000_d_0000024,The black cars park in the designated spaces on the left side.,lanczos,400,400,122.4,1024,1,1.0,1,0.0,582.5,41 4 59 34
8,0000026_00000_d_0000024,The black cars park in the designated spaces on the left side.,swin2sr,400,400,122.4,1024,1,1.0,1,1339.3,575.1,40 4 60 34
9,0000287_02601_d_0000772,The red cars park near the traditional architectural complex.,native,400,400,68.0,1024,1,1.0,1,0.0,303.0,70 43 88 56
9,0000287_02601_d_0000772,The red cars park near the traditional architectural complex.,bicubic,400,400,68.0,1024,1,1.0,1,0.0,607.4,70 44 88 56
9,0000287_02601_d_0000772,The red cars park near the traditional architectural complex.,lanczos,400,400,68.0,1024,1,1.0,1,0.0,607.1,70 43 88 56
9,0000287_02601_d_0000772,The red cars park near the traditional architectural complex.,swin2sr,400,400,68.0,1024,1,1.0,1,1262.1,624.4,70 44 88 56
10,0000271_05001_d_0000397,The black vehicles park near the buildings.,native,400,400,30.6,1024,1,0.0,0,0.0,226.4,4 4 7 9
10,0000271_05001_d_0000397,The black vehicles park near the buildings.,bicubic,400,400,30.6,1024,1,0.0,0,0.0,590.8,32 6 37 11
10,0000271_05001_d_0000397,The black vehicles park near the buildings.,lanczos,400,400,30.6,1024,1,0.0,0,0.0,614.6,64 25 69 32
10,0000271_05001_d_0000397,The black vehicles park near the buildings.,swin2sr,400,400,30.6,1024,1,0.6667,1,1254.3,605.8,48 21 56 29
11,0000162_00801_d_0000001,The blue vehicles in the image.,native,400,400,113.4,1024,1,1.0,1,0.0,303.9,38 48 63 76
11,0000162_00801_d_0000001,The blue vehicles in the image.,bicubic,400,400,113.4,1024,1,0.9524,1,0.0,609.1,39 48 63 75
11,0000162_00801_d_0000001,The blue vehicles in the image.,lanczos,400,400,113.4,1024,1,0.9524,1,0.0,610.3,39 48 63 75
11,0000162_00801_d_0000001,The blue vehicles in the image.,swin2sr,400,400,113.4,1024,1,0.9524,1,1304.1,612.3,39 47 63 75
12,0000356_04901_d_0000654,The green bus is on the right side of the image.,native,400,400,217.6,1024,1,0.8627,1,0.0,302.6,26 38 83 61
12,0000356_04901_d_0000654,The green bus is on the right side of the image.,bicubic,400,400,217.6,1024,1,0.7964,1,0.0,613.0,26 38 83 62
12,0000356_04901_d_0000654,The green bus is on the right side of the image.,lanczos,400,400,217.6,1024,1,0.8627,1,0.0,616.8,26 38 83 61
12,0000356_04901_d_0000654,The green bus is on the right side of the image.,swin2sr,400,400,217.6,1024,1,0.7521,1,1280.2,596.4,26 38 86 62
13,0000242_01912_d_0000008,The black cars prake on the road.,native,400,400,28.8,1024,1,0.8333,1,0.0,301.9,47 61 53 69
13,0000242_01912_d_0000008,The black cars prake on the road.,bicubic,400,400,28.8,1024,1,1.0,1,0.0,603.0,46 61 53 68
13,0000242_01912_d_0000008,The black cars prake on the road.,lanczos,400,400,28.8,1024,1,1.0,1,0.0,604.9,46 61 53 68
13,0000242_01912_d_0000008,The black cars prake on the road.,swin2sr,400,400,28.8,1024,1,1.0,1,1244.6,606.7,46 61 53 68
14,0000356_03333_d_0000646,The black cars are navigating the intersection.,native,400,400,54.4,1024,1,0.0,0,0.0,302.4,57 32 73 40
14,0000356_03333_d_0000646,The black cars are navigating the intersection.,bicubic,400,400,54.4,1024,1,0.0,0,0.0,600.4,57 32 72 40
14,0000356_03333_d_0000646,The black cars are navigating the intersection.,lanczos,400,400,54.4,1024,1,0.0,0,0.0,599.6,57 32 71 40
14,0000356_03333_d_0000646,The black cars are navigating the intersection.,swin2sr,400,400,54.4,1024,1,0.0,0,1261.0,603.5,57 32 72 39
15,0000283_00601_d_0000677,The blue truck is traveling on the highway.,native,400,400,57.6,1024,1,1.0,1,0.0,303.7,45 41 56 53
15,0000283_00601_d_0000677,The blue truck is traveling on the highway.,bicubic,400,400,57.6,1024,1,1.0,1,0.0,626.8,45 41 56 53
15,0000283_00601_d_0000677,The blue truck is traveling on the highway.,lanczos,400,400,57.6,1024,1,1.0,1,0.0,629.0,45 41 56 54
15,0000283_00601_d_0000677,The blue truck is traveling on the highway.,swin2sr,400,400,57.6,1024,1,1.0,1,1308.1,615.4,45 41 56 53
16,0000022_01036_d_0000006,The people in blue are walking along the pathway.,native,400,400,54.0,1024,1,0.6818,1,0.0,300.5,47 43 55 58
16,0000022_01036_d_0000006,The people in blue are walking along the pathway.,bicubic,400,400,54.0,1024,1,0.6818,1,0.0,618.0,47 44 56 58
16,0000022_01036_d_0000006,The people in blue are walking along the pathway.,lanczos,400,400,54.0,1024,1,0.6818,1,0.0,621.1,47 44 56 58
16,0000022_01036_d_0000006,The people in blue are walking along the pathway.,swin2sr,400,400,54.0,1024,1,0.4651,1,1292.6,622.7,48 44 55 58
17,0000280_02801_d_0000626,The red bus is in the middle lane.,native,400,400,30.6,1024,1,0.75,1,0.0,302.5,47 37 53 43
17,0000280_02801_d_0000626,The red bus is in the middle lane.,bicubic,400,400,30.6,1024,1,0.75,1,0.0,621.8,47 36 53 43
17,0000280_02801_d_0000626,The red bus is in the middle lane.,lanczos,400,400,30.6,1024,1,1.0,1,0.0,620.0,47 35 53 43
17,0000280_02801_d_0000626,The red bus is in the middle lane.,swin2sr,400,400,30.6,1024,1,1.0,1,1293.1,613.0,47 35 53 43
18,0000289_00601_d_0000814,The yellow cars are scattered around the street.,native,400,400,163.2,1024,1,0.9286,1,0.0,301.6,29 66 72 91
18,0000289_00601_d_0000814,The yellow cars are scattered around the street.,bicubic,400,400,163.2,1024,1,0.1429,0,0.0,640.3,29 84 52 100
18,0000289_00601_d_0000814,The yellow cars are scattered around the street.,lanczos,400,400,163.2,1024,1,1.0,1,0.0,626.3,30 65 72 92
18,0000289_00601_d_0000814,The yellow cars are scattered around the street.,swin2sr,400,400,163.2,1024,1,0.9286,1,1293.8,625.0,29 65 72 91
19,0000215_01395_d_0000259,The white vans park near the vendor stalls.,native,400,400,54.4,1024,1,0.5,1,0.0,305.9,45 44 55 56
19,0000215_01395_d_0000259,The white vans park near the vendor stalls.,bicubic,400,400,54.4,1024,1,0.75,1,0.0,627.2,45 44 56 56
19,0000215_01395_d_0000259,The white vans park near the vendor stalls.,lanczos,400,400,54.4,1024,1,0.75,1,0.0,619.8,45 44 56 56
19,0000215_01395_d_0000259,The white vans park near the vendor stalls.,swin2sr,400,400,54.4,1024,1,1.0,1,1284.9,621.1,44 44 56 56
20,0000360_04117_d_0000734,The blue cars move along the road.,native,400,400,91.8,1024,1,0.0,0,0.0,263.1,0 0 13 16
20,0000360_04117_d_0000734,The blue cars move along the road.,bicubic,400,400,91.8,1024,1,0.0,0,0.0,592.5,0 0 14 17
20,0000360_04117_d_0000734,The blue cars move along the road.,lanczos,400,400,91.8,1024,1,0.0,0,0.0,581.9,0 0 14 17
20,0000360_04117_d_0000734,The blue cars move along the road.,swin2sr,400,400,91.8,1024,1,0.0,0,1421.6,623.7,0 0 16 17
21,0000276_02201_d_0000518,The green trucks move away from the road.,native,400,400,108.8,1024,1,0.7,1,0.0,334.2,75 41 100 55
21,0000276_02201_d_0000518,The green trucks move away from the road.,bicubic,400,400,108.8,1024,1,0.675,1,0.0,680.1,80 41 100 57
21,0000276_02201_d_0000518,The green trucks move away from the road.,lanczos,400,400,108.8,1024,1,0.675,1,0.0,656.2,80 41 100 57
21,0000276_02201_d_0000518,The green trucks move away from the road.,swin2sr,400,400,108.8,1024,1,0.9,1,1389.3,652.5,74 41 100 57
22,0000333_02941_d_0000016,The white cars park on the right side of the road.,native,400,400,45.9,1024,1,0.7143,1,0.0,311.5,48 47 52 57
22,0000333_02941_d_0000016,The white cars park on the right side of the road.,bicubic,400,400,45.9,1024,1,0.0,0,0.0,637.1,15 7 21 19
22,0000333_02941_d_0000016,The white cars park on the right side of the road.,lanczos,400,400,45.9,1024,1,0.8333,1,0.0,651.8,48 47 53 56
22,0000333_02941_d_0000016,The white cars park on the right side of the road.,swin2sr,400,400,45.9,1024,1,0.0,0,1340.0,621.7,15 8 21 19
23,0000194_00800_d_0000123,The blue tricycles are near the bottom right corner.,native,400,400,67.2,1024,1,0.7792,1,0.0,331.4,45 87 59 100
23,0000194_00800_d_0000123,The blue tricycles are near the bottom right corner.,bicubic,400,400,67.2,1024,1,0.5546,1,0.0,645.5,43 84 66 100
23,0000194_00800_d_0000123,The blue tricycles are near the bottom right corner.,lanczos,400,400,67.2,1024,1,0.6186,1,0.0,653.7,43 85 62 98
23,0000194_00800_d_0000123,The blue tricycles are near the bottom right corner.,swin2sr,400,400,67.2,1024,1,0.6417,1,1303.7,649.1,42 84 66 100
24,0000287_04801_d_0000781,The yellow cars park near the pavilion.,native,400,400,54.4,1024,1,1.0,1,0.0,301.7,72 84 86 95
24,0000287_04801_d_0000781,The yellow cars park near the pavilion.,bicubic,400,400,54.4,1024,1,1.0,1,0.0,627.8,73 84 86 95
24,0000287_04801_d_0000781,The yellow cars park near the pavilion.,lanczos,400,400,54.4,1024,1,1.0,1,0.0,630.7,73 84 86 95
24,0000287_04801_d_0000781,The yellow cars park near the pavilion.,swin2sr,400,400,54.4,1024,1,1.0,1,1309.2,616.9,73 84 86 95
25,0000308_04401_d_0000327,The green bus is in the center of the intersection.,native,400,400,221.9,1024,1,1.0,1,0.0,300.8,34 23 68 78
25,0000308_04401_d_0000327,The green bus is in the center of the intersection.,bicubic,400,400,221.9,1024,1,1.0,1,0.0,616.5,34 23 67 77
25,0000308_04401_d_0000327,The green bus is in the center of the intersection.,lanczos,400,400,221.9,1024,1,1.0,1,0.0,624.3,34 23 67 77
25,0000308_04401_d_0000327,The green bus is in the center of the intersection.,swin2sr,400,400,221.9,1024,1,0.9,1,1304.5,622.8,35 23 67 77
26,0000291_00001_d_0000868,The red vehicles in the image.,native,400,400,68.0,1024,1,0.8333,1,0.0,298.5,42 80 59 90
26,0000291_00001_d_0000868,The red vehicles in the image.,bicubic,400,400,68.0,1024,1,0.8333,1,0.0,623.7,42 79 58 89
26,0000291_00001_d_0000868,The red vehicles in the image.,lanczos,400,400,68.0,1024,1,0.8333,1,0.0,656.7,42 79 58 89
26,0000291_00001_d_0000868,The red vehicles in the image.,swin2sr,400,400,68.0,1024,1,0.8333,1,1373.0,631.9,42 79 58 89
27,0000330_03201_d_0000816,The red cars in the intersection.,native,400,400,95.2,1024,1,1.0,1,0.0,304.9,37 42 62 59
27,0000330_03201_d_0000816,The red cars in the intersection.,bicubic,400,400,95.2,1024,1,0.9,1,0.0,617.7,37 42 61 60
27,0000330_03201_d_0000816,The red cars in the intersection.,lanczos,400,400,95.2,1024,1,0.9,1,0.0,643.0,37 42 61 60
27,0000330_03201_d_0000816,The red cars in the intersection.,swin2sr,400,400,95.2,1024,1,1.0,1,1312.6,642.0,37 42 61 59
28,0000335_06665_d_0000077,The red vehicle in the intersection.,native,400,400,84.1,1024,1,0.9167,1,0.0,310.1,44 39 57 62
28,0000335_06665_d_0000077,The red vehicle in the intersection.,bicubic,400,400,84.1,1024,1,1.0,1,0.0,650.1,43 39 57 61
28,0000335_06665_d_0000077,The red vehicle in the intersection.,lanczos,400,400,84.1,1024,1,1.0,1,0.0,646.1,43 39 57 61
28,0000335_06665_d_0000077,The red vehicle in the intersection.,swin2sr,400,400,84.1,1024,1,1.0,1,1353.0,663.6,42 39 57 61
29,0000356_03333_d_0000646,The red tricycle is crossing the intersection.,native,400,400,68.0,1024,1,0.6667,1,0.0,304.0,42 46 57 57
29,0000356_03333_d_0000646,The red tricycle is crossing the intersection.,bicubic,400,400,68.0,1024,1,0.6667,1,0.0,657.5,43 45 58 56
29,0000356_03333_d_0000646,The red tricycle is crossing the intersection.,lanczos,400,400,68.0,1024,1,0.0,0,0.0,646.0,48 59 60 69
29,0000356_03333_d_0000646,The red tricycle is crossing the intersection.,swin2sr,400,400,68.0,1024,1,0.0,0,1338.2,628.9,48 59 60 68
30,0000360_04705_d_0000737,The white car drives on the right side of the intersection.,native,400,400,114.8,1024,1,0.9333,1,0.0,328.4,73 35 100 63
30,0000360_04705_d_0000737,The white car drives on the right side of the intersection.,bicubic,400,400,114.8,1024,1,0.9333,1,0.0,644.1,72 35 100 63
30,0000360_04705_d_0000737,The white car drives on the right side of the intersection.,lanczos,400,400,114.8,1024,1,0.9333,1,0.0,646.4,72 35 100 63
30,0000360_04705_d_0000737,The white car drives on the right side of the intersection.,swin2sr,400,400,114.8,1024,1,0.9333,1,1389.5,672.9,73 35 100 62
31,0000277_04001_d_0000558,The yellow vehicles near the intersection.,native,400,400,163.2,1024,1,1.0,1,0.0,315.8,30 42 70 59
31,0000277_04001_d_0000558,The yellow vehicles near the intersection.,bicubic,400,400,163.2,1024,1,1.0,1,0.0,631.1,29 41 70 59
31,0000277_04001_d_0000558,The yellow vehicles near the intersection.,lanczos,400,400,163.2,1024,1,1.0,1,0.0,637.5,29 41 70 59
31,0000277_04001_d_0000558,The yellow vehicles near the intersection.,swin2sr,400,400,163.2,1024,1,1.0,1,1334.4,652.5,29 41 70 59
32,0000359_02549_d_0000709,The black cars are scattered throughout the image.,native,400,400,68.0,1024,1,0.625,1,0.0,304.4,75 16 95 30
32,0000359_02549_d_0000709,The black cars are scattered throughout the image.,bicubic,400,400,68.0,1024,1,0.8571,1,0.0,634.3,75 17 94 30
32,0000359_02549_d_0000709,The black cars are scattered throughout the image.,lanczos,400,400,68.0,1024,1,0.8571,1,0.0,655.6,75 17 94 30
32,0000359_02549_d_0000709,The black cars are scattered throughout the image.,swin2sr,400,400,68.0,1024,1,1.0,1,1399.7,627.6,75 17 94 29
33,0000086_01443_d_0000004,The yellow pedestrian is near the center of the image.,native,400,400,37.8,1024,1,0.0,0,0.0,305.0,51 28 53 36
33,0000086_01443_d_0000004,The yellow pedestrian is near the center of the image.,bicubic,400,400,37.8,1024,1,1.0,1,0.0,626.8,49 27 52 36
33,0000086_01443_d_0000004,The yellow pedestrian is near the center of the image.,lanczos,400,400,37.8,1024,1,0.0,0,0.0,632.4,56 41 59 52
33,0000086_01443_d_0000004,The yellow pedestrian is near the center of the image.,swin2sr,400,400,37.8,1024,1,1.0,1,1325.3,621.7,49 27 52 36
34,0000359_00589_d_0000702,The pedestrians crossing the street.,native,400,400,84.1,1024,1,1.0,1,0.0,321.9,45 39 54 60
34,0000359_00589_d_0000702,The pedestrians crossing the street.,bicubic,400,400,84.1,1024,1,1.0,1,0.0,638.0,45 39 54 60
34,0000359_00589_d_0000702,The pedestrians crossing the street.,lanczos,400,400,84.1,1024,1,1.0,1,0.0,631.0,45 39 54 60
34,0000359_00589_d_0000702,The pedestrians crossing the street.,swin2sr,400,400,84.1,1024,1,1.0,1,1342.4,613.5,45 39 54 60
35,0000263_02401_d_0000179,The white van parks on the right side of the image.,native,400,400,176.8,1024,1,0.9091,1,0.0,308.0,29 39 73 60
35,0000263_02401_d_0000179,The white van parks on the right side of the image.,bicubic,400,400,176.8,1024,1,1.0,1,0.0,636.6,29 40 73 60
35,0000263_02401_d_0000179,The white van parks on the right side of the image.,lanczos,400,400,176.8,1024,1,1.0,1,0.0,628.9,29 40 73 60
35,0000263_02401_d_0000179,The white van parks on the right side of the image.,swin2sr,400,400,176.8,1024,1,1.0,1,1338.8,632.6,29 40 73 60
36,0000153_01601_d_0000001,The red cars are on the right side of the image.,native,400,400,75.6,1024,1,0.6548,1,0.0,329.4,87 77 100 92
36,0000153_01601_d_0000001,The red cars are on the right side of the image.,bicubic,400,400,75.6,1024,1,1.0,1,0.0,645.9,86 76 100 94
36,0000153_01601_d_0000001,The red cars are on the right side of the image.,lanczos,400,400,75.6,1024,1,1.0,1,0.0,648.0,86 76 100 94
36,0000153_01601_d_0000001,The red cars are on the right side of the image.,swin2sr,400,400,75.6,1024,1,0.0,0,1345.7,628.3,12 53 17 59
37,0000271_07001_d_0000407,The white car in the center of the intersection.,native,400,400,99.5,1024,1,1.0,1,0.0,299.9,42 65 58 91
37,0000271_07001_d_0000407,The white car in the center of the intersection.,bicubic,400,400,99.5,1024,1,1.0,1,0.0,639.5,42 65 58 91
37,0000271_07001_d_0000407,The white car in the center of the intersection.,lanczos,400,400,99.5,1024,1,1.0,1,0.0,634.7,42 65 58 91
37,0000271_07001_d_0000407,The white car in the center of the intersection.,swin2sr,400,400,99.5,1024,1,1.0,1,1313.4,638.2,42 65 58 90
38,0000280_03401_d_0000629,The red bus is traveling in the right lane.,native,400,400,61.2,1024,1,0.6667,1,0.0,305.1,47 43 56 57
38,0000280_03401_d_0000629,The red bus is traveling in the right lane.,bicubic,400,400,61.2,1024,1,0.8889,1,0.0,639.8,46 41 55 57
38,0000280_03401_d_0000629,The red bus is traveling in the right lane.,lanczos,400,400,61.2,1024,1,0.8889,1,0.0,639.4,46 41 55 57
38,0000280_03401_d_0000629,The red bus is traveling in the right lane.,swin2sr,400,400,61.2,1024,1,0.8889,1,1349.0,624.8,45 41 55 57
39,0000213_04405_d_0000244,The blue cars travel on the left side of the street.,native,400,400,99.5,1024,1,0.9286,1,0.0,305.6,41 37 58 64
39,0000213_04405_d_0000244,The blue cars travel on the left side of the street.,bicubic,400,400,99.5,1024,1,1.0,1,0.0,634.7,41 38 58 63
39,0000213_04405_d_0000244,The blue cars travel on the left side of the street.,lanczos,400,400,99.5,1024,1,1.0,1,0.0,635.4,41 38 58 63
39,0000213_04405_d_0000244,The blue cars travel on the left side of the street.,swin2sr,400,400,99.5,1024,1,1.0,1,1317.8,620.2,40 37 58 63
40,0000276_01401_d_0000514,The green pedestrians walk near the edge of the road.,native,400,400,38.2,1024,1,0.3333,1,0.0,300.9,48 61 51 74
40,0000276_01401_d_0000514,The green pedestrians walk near the edge of the road.,bicubic,400,400,38.2,1024,1,0.3333,1,0.0,629.1,48 62 51 74
40,0000276_01401_d_0000514,The green pedestrians walk near the edge of the road.,lanczos,400,400,38.2,1024,1,0.3333,1,0.0,646.0,49 62 53 74
40,0000276_01401_d_0000514,The green pedestrians walk near the edge of the road.,swin2sr,400,400,38.2,1024,1,0.0,0,1341.1,637.4,87 80 90 84
41,0000242_04116_d_0000013,The black awning-tricycle is near the left side of the road.,native,400,400,54.0,1024,1,1.0,1,0.0,322.7,47 43 54 57
41,0000242_04116_d_0000013,The black awning-tricycle is near the left side of the road.,bicubic,400,400,54.0,1024,1,1.0,1,0.0,645.3,46 43 54 57
41,0000242_04116_d_0000013,The black awning-tricycle is near the left side of the road.,lanczos,400,400,54.0,1024,1,1.0,1,0.0,635.3,46 43 54 57
41,0000242_04116_d_0000013,The black awning-tricycle is near the left side of the road.,swin2sr,400,400,54.0,1024,1,1.0,1,1326.5,634.8,46 43 54 57
42,0000026_04000_d_0000032,The red cars park on the left side of the parking lot.,native,400,400,163.2,1024,1,1.0,1,0.0,305.4,29 48 71 73
42,0000026_04000_d_0000032,The red cars park on the left side of the parking lot.,bicubic,400,400,163.2,1024,1,1.0,1,0.0,641.9,29 48 71 73
42,0000026_04000_d_0000032,The red cars park on the left side of the parking lot.,lanczos,400,400,163.2,1024,1,0.9286,1,0.0,632.2,29 47 71 73
42,0000026_04000_d_0000032,The red cars park on the left side of the parking lot.,swin2sr,400,400,163.2,1024,1,0.9286,1,1373.3,636.7,29 47 71 73
43,0000359_03529_d_0000712,The cars on the road.,native,400,400,114.8,1024,1,0.75,1,0.0,303.1,38 33 62 62
43,0000359_03529_d_0000712,The cars on the road.,bicubic,400,400,114.8,1024,1,0.0,0,0.0,632.4,6 70 28 81
43,0000359_03529_d_0000712,The cars on the road.,lanczos,400,400,114.8,1024,1,0.0,0,0.0,613.5,6 64 27 91
43,0000359_03529_d_0000712,The cars on the road.,swin2sr,400,400,114.8,1024,1,0.75,1,1475.6,665.6,38 32 62 62
44,0000291_00601_d_0000871,The pedestrians in blue are crossing the street.,native,400,400,38.2,1024,1,0.0,0,0.0,311.6,69 37 72 45
44,0000291_00601_d_0000871,The pedestrians in blue are crossing the street.,bicubic,400,400,38.2,1024,1,0.0,0,0.0,644.0,69 37 72 45
44,0000291_00601_d_0000871,The pedestrians in blue are crossing the street.,lanczos,400,400,38.2,1024,1,0.0,0,0.0,654.2,69 37 72 45
44,0000291_00601_d_0000871,The pedestrians in blue are crossing the street.,swin2sr,400,400,38.2,1024,1,0.0,0,1383.2,663.6,69 37 72 45
45,0000356_03725_d_0000648,The red cars in the intersection.,native,400,400,91.8,1024,1,0.9231,1,0.0,311.1,42 39 59 63
45,0000356_03725_d_0000648,The red cars in the intersection.,bicubic,400,400,91.8,1024,1,0.9231,1,0.0,649.9,42 39 59 63
45,0000356_03725_d_0000648,The red cars in the intersection.,lanczos,400,400,91.8,1024,1,0.9231,1,0.0,654.1,42 39 59 63
45,0000356_03725_d_0000648,The red cars in the intersection.,swin2sr,400,400,91.8,1024,1,0.9231,1,1402.1,644.4,42 39 59 63
46,0000026_00000_d_0000024,The white car parks among the black cars on the right side.,native,400,400,176.8,1024,1,0.8619,1,0.0,306.7,28 38 69 64
46,0000026_00000_d_0000024,The white car parks among the black cars on the right side.,bicubic,400,400,176.8,1024,1,0.9231,1,0.0,648.4,28 37 68 63
46,0000026_00000_d_0000024,The white car parks among the black cars on the right side.,lanczos,400,400,176.8,1024,1,0.9231,1,0.0,653.7,28 37 68 63
46,0000026_00000_d_0000024,The white car parks among the black cars on the right side.,swin2sr,400,400,176.8,1024,1,0.9231,1,1389.7,652.4,28 37 69 63
47,0000163_00001_d_0000001,The green trucks park on the right side of the street.,native,400,400,48.6,1024,1,0.1385,0,0.0,317.0,49 44 66 65
47,0000163_00001_d_0000001,The green trucks park on the right side of the street.,bicubic,400,400,48.6,1024,1,0.1579,0,0.0,648.4,49 44 64 65
47,0000163_00001_d_0000001,The green trucks park on the right side of the street.,lanczos,400,400,48.6,1024,1,0.1579,0,0.0,646.6,49 44 64 65
47,0000163_00001_d_0000001,The green trucks park on the right side of the street.,swin2sr,400,400,48.6,1024,1,0.2231,0,1387.7,662.5,48 44 64 65
48,0000342_00393_d_0000244,The white vans park near the buildings.,native,400,400,40.8,1024,1,0.5455,1,0.0,318.0,44 46 50 53
48,0000342_00393_d_0000244,The white vans park near the buildings.,bicubic,400,400,40.8,1024,1,0.0,0,0.0,655.7,85 37 91 43
48,0000342_00393_d_0000244,The white vans park near the buildings.,lanczos,400,400,40.8,1024,1,0.0,0,0.0,655.0,94 27 98 32
48,0000342_00393_d_0000244,The white vans park near the buildings.,swin2sr,400,400,40.8,1024,1,0.0,0,1376.1,648.4,85 37 91 40
49,0000316_01801_d_0000528,The red van parks near the building entrance.,native,400,400,122.4,1024,1,0.8372,1,0.0,309.8,13 37 46 61
49,0000316_01801_d_0000528,The red van parks near the building entrance.,bicubic,400,400,122.4,1024,1,0.8372,1,0.0,663.2,13 37 46 61
49,0000316_01801_d_0000528,The red van parks near the building entrance.,lanczos,400,400,122.4,1024,1,0.8372,1,0.0,648.5,13 37 46 61
